                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7745,                 1.7406,                 1.1551,                0.72013,                0.60478,                0.66489,                0.39529,                 1.6961,                 1.1887,                 1.0493,              0.0033157,              0.0033157,              0.0033157
                      2,                 1.6433,                   1.01,                 1.0537,                0.85584,                0.73068,                0.80284,                0.48273,                  1.507,                0.90983,                 1.0179,              0.0066161,              0.0066161,              0.0066161
                      3,                 1.6268,                0.95769,                 1.0482,                0.81599,                0.71882,                0.78287,                0.44716,                 1.5888,                0.95152,                 1.0494,              0.0098835,              0.0098835,              0.0098835
                      4,                 1.6214,                 0.9071,                 1.0489,                0.83196,                0.69256,                0.78364,                0.44438,                  1.603,                0.90572,                 1.0628,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6002,                0.85127,                 1.0398,                0.86094,                0.73445,                0.80278,                0.47702,                 1.5346,                0.80985,                 1.0258,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5773,                0.81671,                 1.0337,                0.86123,                0.75668,                0.84664,                0.50462,                 1.5263,                0.77221,                 1.0319,               0.009802,               0.009802,               0.009802
                      7,                  1.549,                0.79043,                 1.0331,                0.87492,                0.77355,                0.86026,                0.51504,                 1.5007,                0.75495,                 1.0135,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5522,                0.77578,                  1.027,                  0.876,                0.76498,                 0.8524,                0.51047,                   1.51,                 0.7448,                 1.0269,               0.009703,               0.009703,               0.009703
                      9,                 1.5193,                0.76001,                 1.0261,                0.87887,                0.76822,                0.85516,                0.52145,                 1.5011,                0.73102,                 1.0152,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5328,                0.75013,                 1.0203,                0.87199,                0.79009,                0.85001,                0.51684,                 1.4758,                0.75446,                 1.0149,               0.009604,               0.009604,               0.009604
                     11,                   1.51,                0.73514,                 1.0222,                0.87416,                0.78445,                0.87114,                 0.5248,                 1.5005,                0.70255,                 1.0153,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5099,                0.73074,                 1.0191,                0.88689,                0.79985,                0.86942,                0.53583,                 1.4648,                0.68805,                 1.0078,               0.009505,               0.009505,               0.009505
                     13,                 1.5023,                 0.7208,                 1.0191,                0.88491,                0.77762,                0.85078,                0.52709,                 1.4559,                0.69498,                 1.0039,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.5119,                0.72212,                 1.0148,                 0.8729,                 0.8104,                0.88533,                0.53965,                 1.4646,                0.68478,                 1.0036,               0.009406,               0.009406,               0.009406
                     15,                 1.4987,                0.71198,                 1.0165,                0.87361,                0.80255,                0.86896,                0.54069,                 1.4435,                0.67664,                0.99928,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4867,                0.70651,                 1.0085,                0.88441,                0.81541,                0.88148,                0.54424,                 1.4449,                0.65851,                 1.0027,               0.009307,               0.009307,               0.009307
                     17,                 1.4769,                0.69785,                 1.0081,                0.88252,                0.79621,                0.86309,                0.53209,                 1.4556,                0.67832,                  1.002,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4862,                0.69668,                 1.0038,                0.89463,                0.80603,                0.88682,                0.55113,                 1.4468,                0.65955,                 1.0007,               0.009208,               0.009208,               0.009208
                     19,                 1.4795,                0.69437,                 1.0059,                0.88007,                0.81293,                0.88815,                0.55349,                 1.4454,                0.65959,                 0.9996,              0.0091585,              0.0091585,              0.0091585
                     20,                   1.48,                0.68996,                  1.009,                0.89142,                0.79916,                0.86276,                0.54074,                 1.4374,                0.65433,                 1.0002,               0.009109,               0.009109,               0.009109
                     21,                 1.4666,                0.68361,                 1.0059,                0.88501,                0.82471,                0.89498,                0.55523,                 1.4352,                0.64902,                0.99761,              0.0090595,              0.0090595,              0.0090595
